Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
642472305,ARVIDA BUSINESS PLAZA,ARVIDA BUSINESS PLAZA,ARVIDA BUSINESS PLAZA,Grouped,False
642470213,ARVIDA COUNTRY CLUB PAR 3,ARVIDA COUNTRY CLUB PL,ARVIDA COUNTRY CLUB,Grouped,True
642470203,ARVIDA COUNTRY CLUB PL 3 OF UNIVERSITY PARK,ARVIDA COUNTRY CLUB PL,ARVIDA COUNTRY CLUB,Grouped,True
642470225,ARVIDA COUNTRY CLUB PL 5 OF UNIVERSITY PARK,ARVIDA COUNTRY CLUB PL,ARVIDA COUNTRY CLUB,Grouped,True
642470201,ARVIDA COUNTRY CLUB PL 1 OF UNIVERSITY PARK,ARVIDA COUNTRY CLUB PL,ARVIDA COUNTRY CLUB,Grouped,True
642470202,ARVIDA COUNTRY CLUB PL 2 UNIVERSITY PARK,ARVIDA COUNTRY CLUB PL,ARVIDA COUNTRY CLUB,Grouped,True
642470232,ARVIDA COUNTRY CLUB PL 6 OF UNIVERSITY PARK PUD,ARVIDA COUNTRY CLUB PL,ARVIDA COUNTRY CLUB,Grouped,True
642471411,ARVIDA EXECUTIVE CENTER PL #2,ARVIDA EXECUTIVE CENTER PLAT,ARVIDA EXECUTIVE CENTER,Grouped,True
642471412,ARVIDA EXECUTIVE CENTER PL 3,ARVIDA EXECUTIVE CENTER PLAT,ARVIDA EXECUTIVE CENTER,Grouped,True
642471414,ARVIDA EXECUTIVE CENTER PL #5,ARVIDA EXECUTIVE CENTER PLAT,ARVIDA EXECUTIVE CENTER,Grouped,True
642471415,ARVIDA EXECUTIVE CENTER PL 6,ARVIDA EXECUTIVE CENTER PLAT,ARVIDA EXECUTIVE CENTER,Grouped,True
642471413,ARVIDA EXECUTIVE CENTER PL 4,ARVIDA EXECUTIVE CENTER PLAT,ARVIDA EXECUTIVE CENTER,Grouped,True
642471406,ARVIDA EXECUTIVE CENTER PLAT 1,ARVIDA EXECUTIVE CENTER PLAT,ARVIDA EXECUTIVE CENTER,Grouped,True
643470616,ARVIDA PARK OF COMMERCE PL 15,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470604,ARVIDA PARK OF COMMERCE PL 8,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470603,ARVIDA PARK OF COMMERCE PL 6,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470609,ARVIDA PARK OF COMMERCE PL 9,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470611,ARVIDA PARK OF COMMERCE PL 13,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470614,ARVIDA PARK OF COMMERCE PL 14 REPL,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470615,ARVIDA PARK OF COMMERCE PL 16,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470120,ARVIDA PARK OF COMMERCE NO 11A,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470102,ARVIDA PARK OF COMMERCE PL 1,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470103,ARVIDA PARK OF COMMERCE PL 2 PB37P53&54,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470104,ARVIDA PARK OF COMMERCE PLAT 3,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470105,ARVIDA PARK OF COMMERCE PL # 4 PB44P110,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470106,ARVIDA PARK OF COMMERCE PL 5,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470109,ARVIDA PARK OF COMMERCE PL 12,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470110,ARVIDA PARK OF COMMERCE PL 10,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
642470111,ARVIDA PARK OF COMMERCE PL 11,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470605,ARVIDA PARK OF COMMERCE PL 7,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470608,ARVIDA PARK OF COMM PL 8 REPL,ARVIDA PARK OF COMMERCE,ARVIDA PARK OF,Grouped,True
643470606,ARVIDA/WOCHNA PL NO 1,ARVIDAWOCHNA PL NO 1,ARVIDAWOCHNA NO 1,Grouped,True
643471616,ATHENA COND DEC DECL 8-12-98,ATHENA COND DEC DECL,ATHENA COND DEC,Grouped,True
643473233,ATLANTIC CLOISTERS COND OR877P89,ATLANTIC CLOISTERS COND OR877P89,ATLANTIC CLOISTERS COND,Grouped,True
643471927,ATRIUM 2 OFFICE CONDO,ATRIUM 2 OFFICE CONDO,ATRIUM 2 OFFICE,Grouped,True
